Iteration:0 Test-Acc:0.0288 Train-Acc:0.055
Iteration:1 Test-Acc:0.0273 Train-Acc:0.037
Iteration:2 Test-Acc:0.028 Train-Acc:0.037
Iteration:3 Test-Acc:0.0292 Train-Acc:0.04
Iteration:4 Test-Acc:0.0339 Train-Acc:0.046
Iteration:5 Test-Acc:0.0478 Train-Acc:0.068
Iteration:6 Test-Acc:0.076 Train-Acc:0.083
Iteration:7 Test-Acc:0.1316 Train-Acc:0.096
Iteration:8 Test-Acc:0.2137 Train-Acc:0.127
Iteration:9 Test-Acc:0.2941 Train-Acc:0.148
Iteration:10 Test-Acc:0.3563 Train-Acc:0.181
Iteration:11 Test-Acc:0.4023 Train-Acc:0.209
Iteration:12 Test-Acc:0.4358 Train-Acc:0.238
Iteration:13 Test-Acc:0.4473 Train-Acc:0.286
Iteration:14 Test-Acc:0.4389 Train-Acc:0.274
Iteration:15 Test-Acc:0.3951 Train-Acc:0.257
Iteration:16 Test-Acc:0.2222 Train-Acc:0.243
Iteration:17 Test-Acc:0.0613 Train-Acc:0.112
Iteration:18 Test-Acc:0.0266 Train-Acc:0.035
Iteration:19 Test-Acc:0.0127 Train-Acc:0.026
Iteration:20 Test-Acc:0.0133 Train-Acc:0.022
Iteration:21 Test-Acc:0.0185 Train-Acc:0.038
Iteration:22 Test-Acc:0.0363 Train-Acc:0.038
Iteration:23 Test-Acc:0.0928 Train-Acc:0.067
Iteration:24 Test-Acc:0.1994 Train-Acc:0.081
Iteration:25 Test-Acc:0.3086 Train-Acc:0.154
Iteration:26 Test-Acc:0.4276 Train-Acc:0.204
Iteration:27 Test-Acc:0.5323 Train-Acc:0.256
Iteration:28 Test-Acc:0.5919 Train-Acc:0.305
Iteration:29 Test-Acc:0.6324 Train-Acc:0.341
Iteration:30 Test-Acc:0.6608 Train-Acc:0.426
Iteration:31 Test-Acc:0.6815 Train-Acc:0.439
Iteration:32 Test-Acc:0.7048 Train-Acc:0.462
Iteration:33 Test-Acc:0.7171 Train-Acc:0.484
Iteration:34 Test-Acc:0.7313 Train-Acc:0.505
Iteration:35 Test-Acc:0.7355 Train-Acc:0.53
Iteration:36 Test-Acc:0.7417 Train-Acc:0.548
Iteration:37 Test-Acc:0.747 Train-Acc:0.534
Iteration:38 Test-Acc:0.7491 Train-Acc:0.55
Iteration:39 Test-Acc:0.7459 Train-Acc:0.562
Iteration:40 Test-Acc:0.7352 Train-Acc:0.54
Iteration:41 Test-Acc:0.7082 Train-Acc:0.496
Iteration:42 Test-Acc:0.6487 Train-Acc:0.456
Iteration:43 Test-Acc:0.5209 Train-Acc:0.353
Iteration:44 Test-Acc:0.3305 Train-Acc:0.234
Iteration:45 Test-Acc:0.2052 Train-Acc:0.174
Iteration:46 Test-Acc:0.2149 Train-Acc:0.136
Iteration:47 Test-Acc:0.2679 Train-Acc:0.171
Iteration:48 Test-Acc:0.3237 Train-Acc:0.172
Iteration:49 Test-Acc:0.3581 Train-Acc:0.186
Iteration:50 Test-Acc:0.4202 Train-Acc:0.21
Iteration:51 Test-Acc:0.5165 Train-Acc:0.223
Iteration:52 Test-Acc:0.6007 Train-Acc:0.262
Iteration:53 Test-Acc:0.6476 Train-Acc:0.308
Iteration:54 Test-Acc:0.676 Train-Acc:0.363
Iteration:55 Test-Acc:0.696 Train-Acc:0.402
Iteration:56 Test-Acc:0.7077 Train-Acc:0.434
Iteration:57 Test-Acc:0.7204 Train-Acc:0.441
Iteration:58 Test-Acc:0.7303 Train-Acc:0.475
Iteration:59 Test-Acc:0.7359 Train-Acc:0.475
